question_id,question,answer,ground_truth_url,retrieved_urls,rank,RR,Hit@10,Grounded,Confidence,ExecutionTime
1,What is stated about Neoclassical architecture?,It became one of the most prominent architectural styles in the Western world.,https://en.wikipedia.org/wiki/Neoclassical_architecture,"['https://en.wikipedia.org/wiki/Neoclassical_architecture', 'https://en.wikipedia.org/wiki/History_of_architecture', 'https://en.wikipedia.org/wiki/Architecture']",1,1.0,1,1,5.441889762878418,2.0759668350219727
2,What is stated about Culture of Australia?,The answer is not available in the provided context.,https://en.wikipedia.org/wiki/Culture_of_Australia,"['https://en.wikipedia.org/wiki/Culture_of_Australia', 'https://en.wikipedia.org/wiki/Civilization', 'https://en.wikipedia.org/wiki/Culture', 'https://en.wikipedia.org/wiki/Prehistory']",1,1.0,1,1,3.5929861068725586,2.128743886947632
3,What is stated about Cradle of civilization?,A location and a culture where civilization was developed independently of other civilizations in other locations.,https://en.wikipedia.org/wiki/Cradle_of_civilization,"['https://en.wikipedia.org/wiki/Cradle_of_civilization', 'https://en.wikipedia.org/wiki/Four_Great_Ancient_Civilizations', 'https://en.wikipedia.org/wiki/Civilization']",1,1.0,1,1,6.123283386230469,4.299232006072998
4,Why is Indian Army significant according to the passage?,It is the largest standing army in the world.,https://en.wikipedia.org/wiki/Indian_Army,"['https://en.wikipedia.org/wiki/Indian_Army', 'https://en.wikipedia.org/wiki/British_Indian_Army']",1,1.0,1,1,1.6440801620483398,6.900820970535278
5,How do multiple facts in the passage connect regarding Civilization?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Civilization,"['https://en.wikipedia.org/wiki/Civilization', 'https://en.wikipedia.org/wiki/Four_Great_Ancient_Civilizations', 'https://en.wikipedia.org/wiki/Graham_Hancock', 'https://en.wikipedia.org/wiki/Economic_geography', 'https://en.wikipedia.org/wiki/Culture_series', 'https://en.wikipedia.org/wiki/Will_(philosophy)']",1,1.0,1,1,-4.829892158508301,8.399615049362183
6,Why is Netherlands significant according to the passage?,The Netherlands is the largest of the four constituent countries of the Kingdom of the Netherlands .,https://en.wikipedia.org/wiki/Netherlands,['https://en.wikipedia.org/wiki/Netherlands'],1,1.0,1,1,-0.18409812450408936,8.007818222045898
7,What is stated about Clovis culture?,"The Clovis culture is suggested to have heavily utilized hides, wood, and natural fibres.",https://en.wikipedia.org/wiki/Clovis_culture,['https://en.wikipedia.org/wiki/Clovis_culture'],1,1.0,1,1,5.890411853790283,7.741957426071167
8,What is stated about Andy Warhol?,I went into business art . I wanted to be an art business man or a business artist. Being good in business is the most fascinating kind of art.,https://en.wikipedia.org/wiki/Andy_Warhol,"['https://en.wikipedia.org/wiki/Andy_Warhol', 'https://en.wikipedia.org/wiki/Pop_art']",1,1.0,1,1,4.653692245483398,7.823004245758057
9,What is stated about Pop art?,The movement presented a challenge to traditions of fine art by including imagery from popular and mass culture.,https://en.wikipedia.org/wiki/Pop_art,"['https://en.wikipedia.org/wiki/Pop_art', 'https://en.wikipedia.org/wiki/Popular_culture']",1,1.0,1,1,5.555971145629883,7.015754222869873
10,Why is Nude (art) significant according to the passage?,It was a preoccupation of Ancient Greek art.,https://en.wikipedia.org/wiki/Nude_(art),"['https://en.wikipedia.org/wiki/Nude_(art)', 'https://en.wikipedia.org/wiki/Erotic_art']",1,1.0,1,1,1.5281333923339844,7.202078342437744
11,What are the key differences mentioned about Origamic architecture?,"The three-dimensional reproduction of architecture and monuments are comparable to intricate 'pop-ups ' , indeed , some works are deliberately engineered to possess 'pop-up'-like properties.",https://en.wikipedia.org/wiki/Origamic_architecture,"['https://en.wikipedia.org/wiki/Origamic_architecture', 'https://en.wikipedia.org/wiki/Vernacular_architecture', 'https://en.wikipedia.org/wiki/History_of_architecture', 'https://en.wikipedia.org/wiki/Architecture_(disambiguation)', 'https://en.wikipedia.org/wiki/Architecture', 'https://en.wikipedia.org/wiki/Glossary_of_architecture', 'https://en.wikipedia.org/wiki/Aesthetics']",1,1.0,1,1,3.5167250633239746,8.534792423248291
12,How do multiple facts in the passage connect regarding Selena Gomez?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Selena_Gomez,"['https://en.wikipedia.org/wiki/Selena_Gomez', 'https://en.wikipedia.org/wiki/Revival_(Selena_Gomez_album)', 'https://en.wikipedia.org/wiki/Selena_Gomez_discography', 'https://en.wikipedia.org/wiki/Selena_Gomez_videography']",1,1.0,1,1,-1.2911386489868164,9.743354082107544
13,What is stated about Aesthetics?,The answer is not available in the provided context.,https://en.wikipedia.org/wiki/Aesthetics,"['https://en.wikipedia.org/wiki/Aesthetics', 'https://en.wikipedia.org/wiki/Philosophy']",1,1.0,1,1,3.767110586166382,7.483236789703369
14,What are the key differences mentioned about Mount Everest?,The mountain has the most deaths.,https://en.wikipedia.org/wiki/Mount_Everest,"['https://en.wikipedia.org/wiki/Mount_Everest', 'https://en.wikipedia.org/wiki/List_of_people_who_died_climbing_Mount_Everest', 'https://en.wikipedia.org/wiki/List_of_Mount_Everest_records']",1,1.0,1,1,1.5414490699768066,9.128045797348022
15,Why is Graham Hancock significant according to the passage?,He is a British author known for promoting pseudoscientific explanations of ancient civilizations and hypothetical lost lands.,https://en.wikipedia.org/wiki/Graham_Hancock,['https://en.wikipedia.org/wiki/Graham_Hancock'],1,1.0,1,1,3.044447422027588,7.9961323738098145
16,What is stated about Geography of Taiwan?,"The terrain in Taiwan is divided into two parts : the flat to gently rolling plains in the west, where 90% of the population lives , and the mostly rugged forest-covered mountains in the eastern two-thirds.",https://en.wikipedia.org/wiki/Geography_of_Taiwan,"['https://en.wikipedia.org/wiki/Geography_of_Taiwan', 'https://en.wikipedia.org/wiki/World_War_III', 'https://en.wikipedia.org/wiki/Geography_of_Asia']",1,1.0,1,1,2.687403917312622,8.196239709854126
17,How do multiple facts in the passage connect regarding Shubman Gill?,He is the fastest player to reach 2000 runs in 38 innings and 2500 runs in 50 innings.,https://en.wikipedia.org/wiki/Shubman_Gill,"['https://en.wikipedia.org/wiki/Shubman_Gill', 'https://en.wikipedia.org/wiki/Chinese_mathematics']",1,1.0,1,1,-0.24321839213371277,9.072577714920044
18,How do multiple facts in the passage connect regarding Space exploration?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Space_exploration,"['https://en.wikipedia.org/wiki/Space_exploration', 'https://en.wikipedia.org/wiki/Deep_space_exploration', 'https://en.wikipedia.org/wiki/Timeline_of_space_exploration', 'https://en.wikipedia.org/wiki/Exploration', 'https://en.wikipedia.org/wiki/NASA']",1,1.0,1,1,-1.8991899490356445,9.589690685272217
19,What are the key differences mentioned about Brutalist architecture?,"The style commonly makes use of exposed , unpainted concrete or brick , angular geometric shapes and a predominantly monochrome colour palette.",https://en.wikipedia.org/wiki/Brutalist_architecture,['https://en.wikipedia.org/wiki/Brutalist_architecture'],1,1.0,1,1,4.699019432067871,9.158345937728882
20,What are the key differences mentioned about Chief of the Army Staff (India)?,"The Chief of the Army Staff ( COAS ) is a statutory office held by the professional head of the Indian Army ( IA ) , the land forces branch of the Indian Armed Forces.",https://en.wikipedia.org/wiki/Chief_of_the_Army_Staff_(India),"['https://en.wikipedia.org/wiki/Chief_of_the_Army_Staff_(India)', 'https://en.wikipedia.org/wiki/Indian_Army', 'https://en.wikipedia.org/wiki/British_Indian_Army', 'https://en.wikipedia.org/wiki/Indian_Army_ranks_and_insignia']",1,1.0,1,1,4.37487268447876,8.48941445350647
21,What is stated about Culture of England?,"The way of life, especially the general customs and beliefs, of a parti.",https://en.wikipedia.org/wiki/Culture_of_England,"['https://en.wikipedia.org/wiki/Culture_of_England', 'https://en.wikipedia.org/wiki/Culture', 'https://en.wikipedia.org/wiki/Popular_culture', 'https://en.wikipedia.org/wiki/Just_culture']",1,1.0,1,1,3.292024850845337,8.433977603912354
22,What is stated about Red (Taylor Swift album)?,The album is about the aftermath of an intense breakup.,https://en.wikipedia.org/wiki/Red_(Taylor_Swift_album),"['https://en.wikipedia.org/wiki/Red_(Taylor_Swift_album)', 'https://en.wikipedia.org/wiki/Taylor_Swift']",1,1.0,1,1,6.000977516174316,8.351178646087646
23,How do multiple facts in the passage connect regarding Senegal?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Senegal,['https://en.wikipedia.org/wiki/Senegal'],1,1.0,1,1,-2.717877149581909,8.05731201171875
24,How do multiple facts in the passage connect regarding Poitiers?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Poitiers,"['https://en.wikipedia.org/wiki/Poitiers', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King', 'https://en.wikipedia.org/wiki/Western_philosophy']",1,1.0,1,1,-1.2378579378128052,7.759683847427368
25,What are the key differences mentioned about Knut (polar bear)?,"The polar bear is white- or yellowish-furred with black skin and a thick layer of fat. It is more slender than the brown bear, with a narrower skull, longer neck and lower shoulder hump. Its teeth are sharper an stay in Berlin was still temporary.",https://en.wikipedia.org/wiki/Knut_(polar_bear),"['https://en.wikipedia.org/wiki/Knut_(polar_bear)', 'https://en.wikipedia.org/wiki/Polar_bear']",1,1.0,1,1,2.2551536560058594,8.22104811668396
